objectid,cod_favela,nome,situacao,cod_comple,complexo,data_cadas,cod_bairro,bairro,cod_ra,ra,cod_rp,rp,cod_ap,pop_sabren,dom_sabren,fonte,upp,sabrengisadminLim_Favelas_2019area,Shape__Area,Shape__Length
214,866,Vila Bom Jardim,2,0,Isolada,2009/01/15 03:00:00+00,147,Cosmos,18,Campo Grande,5.2,Campo Grande,5,446,127,IBGE - Censo Demográfico 2010,N,10440.2627518,10440.2627517896,633.118355006359
215,864,Rua Ponto Chique (próxima ao nº 220),2,0,Isolada,2009/01/15 03:00:00+00,46,Cordovil,31,Vigário Geral,3.5,Penha,3,53,17,IPP com base em IBGE - Censo Demográfico 2010,N,2383.81690892,2383.81690892471,311.41394712317
216,863,"Ladeira dos Tabajaras, nº 248",1,2019,Morro dos Cabritos,2009/01/15 03:00:00+00,24,Copacabana,5,Copacabana,2.1,Zona Sul,2,77,25,IPP com base em IBGE - Censo Demográfico 2010,Tabajaras / Cabritos,5889.53267806,5889.53261177872,534.193010601687
217,862,Rua Emilio Berla Lote 14,2,0,Isolada,2009/01/15 03:00:00+00,24,Copacabana,5,Copacabana,2.1,Zona Sul,2,29,13,IPP com base em IBGE - Censo Demográfico 2010,N,3803.71216992,3803.71216990473,374.457969279875
218,861,Estrada do Itararé,1,2084,Complexo do Alemão,2009/01/15 03:00:00+00,156,Complexo do Alemão,29,Complexo do Alemão,3.4,Inhaúma,3,75,22,IPP com base em IBGE - Censo Demográfico 2010,Adeus / Baiana,2369.70321981,2369.70321976815,205.727427610181
219,860,Rua 1 pela Ademas,1,2084,Complexo do Alemão,2009/01/15 03:00:00+00,156,Complexo do Alemão,29,Complexo do Alemão,3.4,Inhaúma,3,40,14,IPP com base em IBGE - Censo Demográfico 2010,Fazendinha,4857.20587925,4857.20587905423,553.752509856097
220,859,Rua Myron Clark,1,2078,Myron Clark,2009/01/15 03:00:00+00,110,Coelho Neto,25,Pavuna,3.6,Pavuna,3,125,37,IPP com base em IBGE - Censo Demográfico 2010,N,9051.57352379,9051.57352379999,681.729644076956
221,858,Rua Myron Clark (Rua Jatuaia),1,2078,Myron Clark,2009/01/15 03:00:00+00,110,Coelho Neto,25,Pavuna,3.6,Pavuna,3,223,70,IPP com base em IBGE - Censo Demográfico 2010,N,3628.96594544,3628.96594557535,497.672749726013
222,855,Anastácia,2,0,Isolada,2009/01/15 03:00:00+00,5,Centro,2,Centro,1.1,Centro,1,108,38,IPP com base em IBGE - Censo Demográfico 2010,N,1942.73746789,1942.73746796452,176.462191555921
223,854,"Rua Cardoso Quintão, nº 509 / Rua Paulo Eiro, nº 123",1,2056,Rua Baleares,2009/01/15 03:00:00+00,80,Cavalcanti,15,Madureira,3.3,Madureira,3,67,23,IPP com base em IBGE - Censo Demográfico 2010,N,2636.28654577,2636.28654583067,375.744314736206
224,853,"Rua Silva Vale, nº 108",2,0,Isolada,2009/01/15 03:00:00+00,80,Cavalcanti,15,Madureira,3.3,Madureira,3,140,45,IPP com base em IBGE - Censo Demográfico 2010,N,5088.62228784,5088.62228783835,328.250159935384
225,852,"Avenida Dom Helder Câmara, nº 9.991 (rua Silvério, nº 79)",2,0,Isolada,2009/01/15 03:00:00+00,82,Cascadura,15,Madureira,3.3,Madureira,3,133,43,IPP com base em IBGE - Censo Demográfico 2010,N,2044.82256069,2044.82256062225,204.76432046353
226,851,"Estrada Guandu do Sena, nº 1.057",2,0,Isolada,2009/01/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,46,12,IPP com base em IBGE - Censo Demográfico 2010,N,8680.86785484,8680.86861833812,854.074684252019
227,850,Jardim Nossa Senhora das Graças III,1,2126,Jardim Nossa Senhora das Graças,2009/01/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,247,70,IBGE - Censo Demográfico 2010,N,10093.0709188,10093.0709187862,425.881950875346
228,849,"Estrada Guandu do Sapé, nº 870",2,0,Isolada,2009/01/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,72,23,IPP com base em IBGE - Censo Demográfico 2010,N,2034.51582801,2034.51582793808,221.903641231689
229,848,Estrada da Cachamorra (altura da Av. Mario Pedrosa),2,0,Isolada,2009/01/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,440,154,IBGE - Censo Demográfico 2010,N,3815.7826694,3815.78266937758,671.47088395132
230,847,Estrada João Melo (altura do nº 460 - Caminho do Pastoria),2,0,Isolada,2009/01/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,142,39,IPP com base em IBGE - Censo Demográfico 2010,N,8464.06942335,8464.07035853881,683.075405246108
231,846,Estrada da Caroba,2,0,Isolada,2009/01/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,70,19,IPP com base em IBGE - Censo Demográfico 2010,N,2350.33941519,2350.33941515551,260.86655819107
232,845,Morro do Quilombo,2,0,Isolada,2009/01/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,128,39,IPP com base em IBGE - Censo Demográfico 2010,N,7647.72732585,7647.72856795268,645.497876465361
233,844,Bosque dos Caboclos,1,2124,Bosque dos Caboclos,2009/01/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,365,113,IBGE - Censo Demográfico 2010,N,24431.2542401,24431.2542400969,851.555017891223
234,843,Bairro São Sebastião,1,2124,Bosque dos Caboclos,2009/01/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,346,100,IBGE - Censo Demográfico 2010,N,19694.4644921,19694.4644918673,750.957712219204
235,842,Comari,2,0,Isolada,2009/01/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,47,13,IBGE - Censo Demográfico 2010,N,5771.64796823,5771.64796826558,498.705199793456
236,841,Ocupação Olga Benário Prestes,2,0,Isolada,2009/01/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,286,81,IBGE - Censo Demográfico 2010,N,9710.55453606,9710.55453605963,414.069119016069
237,840,Torre de Babel,2,0,Isolada,2009/01/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,262,74,IBGE - Censo Demográfico 2010,N,16938.1220543,16938.1213030948,831.443733612159
238,839,"Rua Gramado, nº 783 - servidão",2,0,Isolada,2009/01/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,357,122,IPP com base em IBGE - Censo Demográfico 2010,N,8724.71031435,8724.70959934,413.531527323428
239,838,Estrada do Mato Alto,2,0,Isolada,2009/01/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,241,72,IBGE - Censo Demográfico 2010,N,21764.2487483,21764.2520225419,927.107524055877
240,837,Afonso Viseu,2,0,Isolada,2009/01/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,106,30,IPP com base em IBGE - Censo Demográfico 2010,N,5301.8563268,5301.85632668717,317.860029179355
241,836,Caminho do Céu (Trav. Miguel Sacramento),2,0,Isolada,2009/01/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,112,37,IPP com base em IBGE - Censo Demográfico 2010,N,5488.73479404,5488.73482166422,678.127399184414
242,835,Caminho do Céu (Rua João Galdino),2,0,Isolada,2009/01/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,71,22,IPP com base em IBGE - Censo Demográfico 2010,N,5844.37366797,5844.37435035058,797.882255592125
243,834,Caminho do Céu,2,0,Isolada,2009/01/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,106,33,IPP com base em IBGE - Censo Demográfico 2010,N,9145.15897295,9145.15806330084,1234.88112736525
244,833,Jardim Monteiro,1,2125,Jardim Monteiro,2009/01/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,654,191,IBGE - Censo Demográfico 2010,N,49916.435528,49916.4367177994,1742.54177776141
245,832,Morro Luiz Barata,2,0,Isolada,2009/01/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,157,46,IBGE - Censo Demográfico 2010,N,7469.43535066,7469.43535064788,685.071233412852
246,831,Rio - São Paulo (altura do nº 3.239),2,0,Isolada,2009/01/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,661,170,IBGE - Censo Demográfico 2010,N,54160.2273755,54160.2273755379,1404.86558454513
247,830,Estrada do Pedregoso (próxima à Estrada do Mendanha),2,0,Isolada,2009/01/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,77,27,IPP com base em IBGE - Censo Demográfico 2010,N,3341.85802853,3341.85802842092,509.019363970636
248,829,Beco da Esperança,2,0,Isolada,2009/01/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,225,68,IBGE - Censo Demográfico 2010,N,8163.02297553,8163.02297559818,694.158611541799
249,828,Comunidade Solar da Montanha de Jacarepaguá,2,0,Isolada,2009/01/15 03:00:00+00,129,Camorim,24,Barra da Tijuca,4.2,Barra da Tijuca,4,221,76,IBGE - Censo Demográfico 2010,N,4834.06121243,4834.06121246691,305.285833563568
250,826,"Estrada do Quitungo, nº 1.267",1,2030,Morro da Guaíba,2009/01/15 03:00:00+00,45,Brás de Pina,11,Penha,3.5,Penha,3,77,26,IPP com base em IBGE - Censo Demográfico 2010,N,3543.99806728,3543.99806723139,548.061549715827
251,825,Morro da Saudade,1,2016,Mangueira (RA - Botafogo),2009/01/15 03:00:00+00,20,Botafogo,4,Botafogo,2.1,Zona Sul,2,63,19,IPP com base em IBGE - Censo Demográfico 2010,Tabajaras / Cabritos,1669.87247114,1669.87247109526,359.245432365918
252,824,Rua da Proclamação (altura do nº 809),2,0,Isolada,2009/01/15 03:00:00+00,40,Bonsucesso,10,Ramos,3.1,Ramos,3,118,45,IPP com base em IBGE - Censo Demográfico 2010,N,1084.89245278,1084.89245282181,152.422139363443
253,822,Marco,2,0,Isolada,2009/01/15 03:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,180,52,IPP com base em IBGE - Censo Demográfico 2010,N,3925.67536383,3925.67536385992,372.012186079634
254,821,Vila Aliança,1,2118,Fazenda Coqueiro,2009/01/15 03:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,388,136,IBGE - Censo Demográfico 2010,N,15401.3696886,15401.3696886492,547.168302471948
255,820,Vila Aliança (Av. do Corretor),2,0,Isolada,2009/01/15 03:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,206,65,IBGE - Censo Demográfico 2010,N,11504.5873684,11504.5876754535,850.29713718962
256,819,Quinta do Taquaral,1,2118,Fazenda Coqueiro,2009/01/15 03:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,253,85,IPP com base em IBGE - Censo Demográfico 2010,N,8246.71942565,8246.71942559104,618.469852118033
257,818,Vila Aliança (loteamento Rua do Lúcio),1,2118,Fazenda Coqueiro,2009/01/15 03:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,485,136,IBGE - Censo Demográfico 2010,N,22034.4948893,22034.4948891399,936.530260613427
258,817,Sem Terra,2,0,Isolada,2009/01/15 03:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,237,79,IPP com base em IBGE - Censo Demográfico 2010,N,9391.98571085,9391.98571088788,419.591559973836
259,816,Estrada de Gericinó (em frente ao nº 817),2,0,Isolada,2009/01/15 03:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,64,21,IPP com base em IBGE - Censo Demográfico 2010,N,2060.77180666,2060.77180662596,288.093244919523
260,815,Estrada de Gericinó (altura do nº 860),1,2121,Vila Catiri,2009/01/15 03:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,337,102,IPP com base em IBGE - Censo Demográfico 2010,N,6267.4144391,6267.41443909802,319.388547404562
261,814,"Estrada de Realengo, nº 1.516",2,0,Isolada,2009/01/15 03:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,157,45,IPP com base em IBGE - Censo Demográfico 2010,N,2498.24881591,2498.24881586593,199.098459764741
262,813,Parque das Mangueiras,2,0,Isolada,2009/01/15 03:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,71,21,IPP com base em IBGE - Censo Demográfico 2010,N,11374.9081614,11374.9044197205,985.713074844128
263,812,Rua Humberto Teixeira,2,0,Isolada,2009/01/15 03:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,231,70,IBGE - Censo Demográfico 2010,N,15568.3744467,15568.3747468813,1153.7851947985
264,811,Favela do Quiabo,2,0,Isolada,2009/01/15 03:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,377,118,IPP com base em IBGE - Censo Demográfico 2010,Vila Kennedy,11691.1078915,11691.107891435,911.519963958246
265,810,Castor de Andrade II,1,2116,Alto Kennedy,2009/01/15 03:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,415,140,IBGE - Censo Demográfico 2010,Vila Kennedy,19928.6434816,19928.643859349,956.6970076121
266,809,"Rua Aldo Rangel, nº 198",2,0,Isolada,2009/01/15 03:00:00+00,116,Anil,16,Jacarepaguá,4.1,Jacarepaguá,4,162,52,IPP com base em IBGE - Censo Demográfico 2010,N,3154.85374173,3154.85374164129,223.451988579477
267,808,"Estrada Curipós, nº 310",2,0,Isolada,2009/01/15 03:00:00+00,116,Anil,16,Jacarepaguá,4.1,Jacarepaguá,4,89,28,IPP com base em IBGE - Censo Demográfico 2010,N,15035.5059787,15035.5040322904,1304.19187069378
268,807,Rua Adalberto Tanajura (altura do nº 152),2,0,Isolada,2009/01/15 03:00:00+00,107,Anchieta,22,Anchieta,3.6,Pavuna,3,208,59,IBGE - Censo Demográfico 2010,N,3809.2471178,3809.24711781476,290.897068982889
269,806,Estrada do Soberbo (altura do nº 176),2,0,Isolada,2009/01/15 03:00:00+00,34,Alto da Boa Vista,8,Tijuca,2.2,Tijuca,2,29,13,IPP com base em IBGE - Censo Demográfico 2010,N,5885.73237534,5885.73237522699,446.494669928437
270,805,Rua Rodrigo da Silva (altura do nº 91),2,0,Isolada,2009/01/15 03:00:00+00,34,Alto da Boa Vista,8,Tijuca,2.2,Tijuca,2,30,10,IPP com base em IBGE - Censo Demográfico 2010,N,1964.51126203,1964.51126205092,208.133969741755
271,804,Rua Rodrigo da Silva (altura do nº 910 - Caminho Santo André),2,0,Isolada,2009/01/15 03:00:00+00,34,Alto da Boa Vista,8,Tijuca,2.2,Tijuca,2,180,61,IPP com base em IBGE - Censo Demográfico 2010,N,20936.3467787,20936.3467786674,1104.27594247096
272,803,Estrada do Soberbo (altura do nº 267),2,0,Isolada,2009/01/15 03:00:00+00,34,Alto da Boa Vista,8,Tijuca,2.2,Tijuca,2,20,6,IPP com base em IBGE - Censo Demográfico 2010,N,6739.57995418,6739.57995425789,575.856353310301
273,802,"Rua Torres de Oliveira, nº 467",1,2042,Engenheiro Alfredo Gonçalves,2009/01/15 03:00:00+00,67,Água Santa,13,Méier,3.2,Méier,3,155,50,IPP com base em IBGE - Censo Demográfico 2010,N,5593.00960459,5593.0096045444,384.212022537182
274,801,A.M. Novo Rio de Jacarepaguá,1,2091,Canal do Anil,2004/01/01 03:00:00+00,117,Gardênia Azul,16,Jacarepaguá,4.1,Jacarepaguá,4,1038,313,IBGE - Censo Demográfico 2010,N,42048.0018266,42048.0018267167,903.601909144084
275,800,Nova Cidade,2,0,Isolada,2004/01/01 03:00:00+00,146,Inhoaíba,18,Campo Grande,5.2,Campo Grande,5,14191,4105,IPP com base em IBGE - Censo Demográfico 2010,N,927721.089268,927721.089086502,5257.182281906
276,799,A.M. Barra América,2,0,Isolada,2004/01/01 03:00:00+00,128,Barra da Tijuca,24,Barra da Tijuca,4.2,Barra da Tijuca,4,198,57,IBGE - Censo Demográfico 2010,N,4516.16210975,4516.16210962424,309.08850536039
277,798,Parque Horto Florestal,2,0,Isolada,2004/01/01 03:00:00+00,149,Santa Cruz,19,Santa Cruz,5.3,Santa Cruz,5,1113,350,IPP com base em IBGE - Censo Demográfico 2010,N,85154.5460525,85154.5460524174,1489.70607478554
278,796,Caminho do Abreu,1,2142,Caminho do Abreu,2003/01/07 03:00:00+00,152,Barra de Guaratiba,26,Guaratiba,5.4,Guaratiba,5,504,143,IBGE - Censo Demográfico 2010,N,60402.1472015,60402.1485691941,3747.10548359918
279,795,Bosque Mont Serrat,2,0,Isolada,2002/12/19 03:00:00+00,130,Vargem Pequena,24,Barra da Tijuca,4.2,Barra da Tijuca,4,1689,495,IBGE - Censo Demográfico 2010,N,42225.1640521,42225.1640520434,1351.98219714823
280,794,"Avenida dos Eucaliptos, 28",2,0,Isolada,2002/12/20 03:00:00+00,132,Recreio dos Bandeirantes,24,Barra da Tijuca,4.2,Barra da Tijuca,4,119,37,IPP com base em IBGE - Censo Demográfico 2010,N,3035.98047623,3035.9804762606,253.906092206622
281,792,Morro do PEC,2,0,Isolada,2003/02/20 03:00:00+00,13,Paquetá,21,Paquetá,1.1,Centro,1,391,133,IBGE - Censo Demográfico 2010,N,10083.5878151,10083.5878151349,549.943694117284
282,791,Caminho dos Nunes,1,2123,Beco do Genipapo,2003/02/12 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,281,86,IBGE - Censo Demográfico 2010,N,14352.251646,14352.2514295858,893.563783024381
283,790,Beco do Genipapo,1,2123,Beco do Genipapo,2003/02/12 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,397,123,IBGE - Censo Demográfico 2010,N,12968.914221,12968.9142208505,582.63161813364
284,789,"Rua Marquês de Muritiba, nº 609",1,2063,Conjunto Residencial dos Servidores,2003/02/10 03:00:00+00,96,Cocotá,20,Ilha do Governador,3.7,Ilha do Governador,3,157,53,IPP com base em IBGE - Censo Demográfico 2010,N,3354.74475599,3354.74475597366,232.245732189505
285,788,"Rua Jerônimo Ornelas, nº 490",1,2061,Bairro Nossa Senhora das Graças,2003/02/10 03:00:00+00,93,Cacuia,20,Ilha do Governador,3.7,Ilha do Governador,3,70,22,IPP com base em IBGE - Censo Demográfico 2010,N,1791.79592344,1791.79592340448,195.864930057975
286,787,Rua Projetada A - Rio Comprido,1,2007,Vila Anchieta,2003/01/10 03:00:00+00,7,Rio Comprido,3,Rio Comprido,1.1,Centro,1,521,190,IPP com base em IBGE - Censo Demográfico 2010,Prazeres / Escondidinho,8932.88842765,8932.88842421479,498.04644440369
287,786,Coroado (AMAPOLO),2,0,Isolada,2003/01/10 03:00:00+00,14,Santa Teresa,23,Santa Teresa,1.1,Centro,1,930,291,IBGE - Censo Demográfico 2010,Cerro Corá,17086.9779475,17086.9784848481,676.537229923356
288,784,Mandela de Pedra,1,2026,Manguinhos,2003/02/04 03:00:00+00,39,Manguinhos,10,Ramos,3.1,Ramos,3,4196,1162,IPP com base em IBGE - Censo Demográfico 2010,Manguinhos - Arará/Mandela,33609.3623692,33609.3600173342,2744.10825008747
289,783,Pata Choca,2,0,Isolada,2003/02/04 03:00:00+00,157,Maré,30,Complexo da Maré,3.1,Ramos,3,1536,538,IBGE - Censo Demográfico 2010,Maré,41569.2908749,41569.290875005,1991.03797446618
290,782,"Vila da Rua Viúva Cláudio, nº 211",1,2083,Jacarezinho,2003/01/23 03:00:00+00,51,Jacaré,13,Méier,3.2,Méier,3,622,185,IPP com base em IBGE - Censo Demográfico 2010,Jacarezinho,2437.4461158,2437.44602212042,244.60888464918
291,781,Malvinas,2,0,Isolada,2003/01/23 03:00:00+00,65,Cachambi,13,Méier,3.2,Méier,3,186,43,IBGE - Censo Demográfico 2010,N,5230.14356436,5230.14356420937,326.034227559037
292,780,Parque Everest,1,2036,Parque Everest,2003/01/22 03:00:00+00,54,Inhaúma,12,Inhaúma,3.4,Inhaúma,3,1321,313,IBGE - Censo Demográfico 2010,N,11037.7774702,11037.7855091222,1732.54450216309
293,779,Vila Dom Fábio,2,0,Isolada,2003/01/22 03:00:00+00,50,Higienópolis,12,Inhaúma,3.4,Inhaúma,3,274,83,IPP com base em IBGE - Censo Demográfico 2010,N,3776.45217875,3776.45217886277,309.167276185942
294,778,Rua Lagoa Redonda,1,2039,Rua Lagoa Redonda,2003/01/22 03:00:00+00,54,Inhaúma,12,Inhaúma,3.4,Inhaúma,3,721,228,IBGE - Censo Demográfico 2010,N,12733.5265407,12733.5265404587,896.785324499807
295,777,Lagoa da Barra,2,0,Isolada,2002/12/11 03:00:00+00,128,Barra da Tijuca,24,Barra da Tijuca,4.2,Barra da Tijuca,4,67,21,IPP com base em IBGE - Censo Demográfico 2010,N,1746.86624346,1746.86624345597,174.621424389864
296,776,Ilha da Gigóia - Lote 500,2,0,Isolada,2002/12/11 03:00:00+00,128,Barra da Tijuca,24,Barra da Tijuca,4.2,Barra da Tijuca,4,97,38,IPP com base em IBGE - Censo Demográfico 2010,N,880.605137,880.60513699474,124.419389259134
297,775,Açude da Solidão,2,0,Isolada,2002/12/13 03:00:00+00,34,Alto da Boa Vista,8,Tijuca,2.2,Tijuca,2,60,20,IPP com base em IBGE - Censo Demográfico 2010,N,3314.86731929,3314.86731931252,262.282868829708
298,774,Vale Encantado,2,0,Isolada,2002/12/13 03:00:00+00,34,Alto da Boa Vista,8,Tijuca,2.2,Tijuca,2,45,12,IPP com base em IBGE - Censo Demográfico 2010,N,6403.93661661,6403.93669776931,395.857472697022
299,773,Sítio da Biquinha,2,0,Isolada,2002/12/13 03:00:00+00,34,Alto da Boa Vista,8,Tijuca,2.2,Tijuca,2,240,68,IBGE - Censo Demográfico 2010,N,23237.1422255,23237.1422252254,1118.17639031767
300,772,Morro do Pau Ferro,1,2045,Morro do Pau Ferro,2003/01/21 03:00:00+00,68,Encantado,13,Méier,3.2,Méier,3,165,46,IPP com base em IBGE - Censo Demográfico 2010,N,10136.694519,10136.6945192044,799.04123996117
301,771,Vila da Amizade,2,0,Isolada,2003/01/21 03:00:00+00,69,Piedade,13,Méier,3.2,Méier,3,116,37,IPP com base em IBGE - Censo Demográfico 2010,N,8192.19039154,8192.19039151048,423.168038178251
302,770,Outeiro (RA - Méier),2,0,Isolada,2003/01/17 03:00:00+00,66,Engenho de Dentro,13,Méier,3.2,Méier,3,573,171,IPP com base em IBGE - Censo Demográfico 2010,Camarista Méier,19287.921265,19287.9263994648,1144.49741320182
303,769,Rua Agostinho Gama,2,0,Isolada,2002/12/17 03:00:00+00,120,Freguesia (Jacarepaguá),16,Jacarepaguá,4.1,Jacarepaguá,4,321,115,IBGE - Censo Demográfico 2010,N,6741.15729599,6741.15650914585,374.459535293431
304,768,Pantanal I (RA - Jacarepaguá),1,2096,Inácio do Amaral,2002/12/17 03:00:00+00,120,Freguesia (Jacarepaguá),16,Jacarepaguá,4.1,Jacarepaguá,4,206,52,IBGE - Censo Demográfico 2010,Cidade de Deus,6776.088182,6776.08784899792,913.256380930429
305,767,Praça da Bíblia,1,2096,Inácio do Amaral,2002/12/17 03:00:00+00,118,Cidade de Deus,34,Cidade de Deus,4.1,Jacarepaguá,4,535,176,IPP com base em IBGE - Censo Demográfico 2010,Cidade de Deus,10244.1851057,10244.1851055702,1141.65452856869
306,766,Rua Daniel,1,2096,Inácio do Amaral,2002/12/17 03:00:00+00,120,Freguesia (Jacarepaguá),16,Jacarepaguá,4.1,Jacarepaguá,4,100,29,IPP com base em IBGE - Censo Demográfico 2010,Cidade de Deus,9242.66755654,9242.66755650839,705.943384803686
307,765,Fazendinha de Água Santa,2,0,Isolada,2003/02/19 03:00:00+00,67,Água Santa,13,Méier,3.2,Méier,3,1269,317,IBGE - Censo Demográfico 2010,N,46580.7644106,46580.7611476028,2370.06642312574
308,764,Engenho da Serra,2,0,Isolada,2003/02/19 03:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,162,51,IBGE - Censo Demográfico 2010,N,35580.4553568,35580.4544465623,2467.01302119603
309,763,"Rua Monsenhor Marques, nº 277",2,0,Isolada,2003/01/16 03:00:00+00,121,Pechincha,16,Jacarepaguá,4.1,Jacarepaguá,4,28,10,IPP com base em IBGE - Censo Demográfico 2010,N,2023.37903739,2023.37903740274,174.324514573089
310,762,Vacaria,2,0,Isolada,2003/01/15 03:00:00+00,122,Taquara,16,Jacarepaguá,4.1,Jacarepaguá,4,40,13,IPP com base em IBGE - Censo Demográfico 2010,N,1742.75865811,1742.75865813625,166.647527264697
311,761,Avenida Guia Lopes,2,0,Isolada,2003/01/15 03:00:00+00,122,Taquara,16,Jacarepaguá,4.1,Jacarepaguá,4,110,35,IPP com base em IBGE - Censo Demográfico 2010,N,4472.50710433,4472.50710434422,511.530237258976
312,760,Rua Sargento Paulo Moreira,2,0,Isolada,2003/01/15 03:00:00+00,120,Freguesia (Jacarepaguá),16,Jacarepaguá,4.1,Jacarepaguá,4,568,165,IBGE - Censo Demográfico 2010,N,22833.5873179,22833.5873180368,775.694304010842
313,721,Do Horto,2,0,Isolada,2004/01/01 03:00:00+00,28,Jardim Botânico,6,Lagoa,2.1,Zona Sul,2,970,286,IBGE - Censo Demográfico 2010,N,62737.0577768,62737.0589806474,3134.13346699783
314,644,Bela Vista do Mato Alto,1,2095,Fazenda Mato Alto,2002/03/25 03:00:00+00,124,Praça Seca,16,Jacarepaguá,4.1,Jacarepaguá,4,1927,540,IBGE - Censo Demográfico 2010,N,75178.1854338,75178.1854337542,2341.55613594598
315,624,Vila Elza,1,2007,Vila Anchieta,1995/06/14 03:00:00+00,14,Santa Teresa,23,Santa Teresa,1.1,Centro,1,317,93,IBGE - Censo Demográfico 2010,Prazeres / Escondidinho,13824.0782687,13824.0782686392,774.067970458579
316,595,Ladeira da Reunião,1,2095,Fazenda Mato Alto,1995/04/05 03:00:00+00,123,Tanque,16,Jacarepaguá,4.1,Jacarepaguá,4,1176,339,IBGE - Censo Demográfico 2010,N,66915.12771,66915.1217326809,2657.18639841987
317,594,Morro da Boa Esperança,1,2058,Vila Campinho,1995/05/09 03:00:00+00,124,Praça Seca,16,Jacarepaguá,4.1,Jacarepaguá,4,561,161,IBGE - Censo Demográfico 2010,N,23591.2405868,23591.2378575904,921.150560494481
318,589,Morro da Reunião,1,2095,Fazenda Mato Alto,1995/04/05 03:00:00+00,123,Tanque,16,Jacarepaguá,4.1,Jacarepaguá,4,119,40,IBGE - Censo Demográfico 2010,N,16612.9614365,16612.9622417826,940.638034801907
319,579,A.M. e Amigos do Vale,1,2013,Unidos de Santa Tereza,1995/06/14 03:00:00+00,14,Santa Teresa,23,Santa Teresa,1.1,Centro,1,161,45,IBGE - Censo Demográfico 2010,Fallet / Fogueteiro - Coroa,17868.0563515,17868.0563514906,812.813095941652
320,578,Pantanal (RA - Rio Comprido),1,2006,Turano,1995/06/06 03:00:00+00,7,Rio Comprido,3,Rio Comprido,1.1,Centro,1,612,173,IBGE - Censo Demográfico 2010,Turano,25451.9633528,25451.9641617549,1328.36170845829
321,562,Engenheiro Alfredo Gonçalves,1,2042,Engenheiro Alfredo Gonçalves,1992/01/15 03:00:00+00,69,Piedade,13,Méier,3.2,Méier,3,908,279,IBGE - Censo Demográfico 2010,N,57404.520326,57404.5203258565,1548.74783159742
322,560,Estrada do Sertão,2,0,Isolada,1992/01/14 03:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,1127,356,IBGE - Censo Demográfico 2010,N,91684.2986812,91684.2940815865,3053.25914344971
323,558,Comunidade dos Marianos,1,2042,Engenheiro Alfredo Gonçalves,1992/01/25 03:00:00+00,69,Piedade,13,Méier,3.2,Méier,3,740,245,IBGE - Censo Demográfico 2010,N,24697.7968423,24697.7968422157,795.686286870051
